Name,Error,VAScore,AssetsApk,StubComponents,StubProcesses,#Permissions,#Activities,#Components,#Processes,SpawnApk,SpawnProcesses,SameCertificates,StubIntent,#Packages,UnknownIntent,CombinedIntentAnalysis
com.xibeijianzhuzhuangshixinxiwang.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.ximalaya.ting.android.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.xinglin.lwddz409550.apk,0,4,0,101,51,190,209,219,53,0,1,1,0,1,0,0
com.xinglin.lwddz478346.apk,0,4,0,36,9,16,30,59,15,0,0,1,0,1,0,0
com.xinglin.lwddz516903.apk,0,4,0,36,9,16,30,59,15,0,0,1,0,1,0,0
com.xingxi.meli.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.xinnengyuanwang.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.green.weihelper.apk,0,4,0,101,51,186,113,120,53,0,0,1,0,1,0,0
com.greenxxoo.forum.apk,crashed,6,1,72,8,20,75,90,9,1,0,0,0,1,0,0
com.gsishdhsjdjd.greyd.apk,0,6,1,100,50,177,114,124,51,0,0,1,0,1,0,0
com.gspace.android.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.gtresht.t3etgg.apk,0,6,1,101,51,207,125,155,54,0,1,1,0,2,1,1
com.gttsoftgames.streetfighting.apk,crashed,6,1,72,8,16,80,95,11,0,0,1,0,1,0,0
com.guandan.anhui.apk,0,6,1,50,6,48,24,65,9,0,0,1,0,1,0,0
com.guangdongpinpaitongzhuangshangcheng.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.guojishipin.apk,0,6,1,128,8,149,449,501,12,0,1,1,0,1,0,0
com.GWBXS.org.chaojimabaobei.apk,crashed,6,1,72,8,17,79,93,9,0,0,1,0,1,0,0
com.gyorgyszucs.colonizerul.apk,crashed,6,1,72,8,26,80,92,9,1,0,0,0,1,0,0
com.H0O0W2YQ3HW3.apk,0,4,0,101,51,187,108,116,52,0,0,1,0,1,0,0
com.h99051131.tsf.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.haikejidian.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.haiyangshipinwang.apk,crashed,3,0,107,7,149,449,501,8,0,0,1,0,1,0,0
com.halikeji.claw_fruit.apk,crashed,6,1,72,8,18,81,96,9,0,0,1,0,1,0,0
com.halikeji.roadRunner.apk,timeout,6,1,72,8,18,81,96,9,0,0,1,0,1,0,0
com.handcool.wifi86.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.handjoy147.apk,0,4,0,284,100,152,225,343,103,0,0,1,0,1,0,0
com.hanyuejian.hacker.apk,0,4,0,101,51,183,114,121,52,0,1,1,0,1,0,0
com.hanyuejian.multrun.apk,0,4,0,90,50,186,117,126,52,0,1,1,0,1,0,0
com.haodf.android.apk,0,5,1,55,4,37,649,675,6,1,0,1,0,1,0,0
air.com.rxGames.jietuozhimen.apk,crashed,6,1,72,8,17,78,91,9,0,0,1,0,1,0,0
ba0r.tbtzn3r.a1j2.k31v.bsb.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cn.com.liujisumemory.apk,not_started,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
cn.ninetwoapp.news.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.aetnent.history.android.kids.PortaPilots.apk,crashed,4,0,83,8,28,86,101,9,0,0,1,0,1,0,0
com.android.mpsplug.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.argt.jdqs.apk,not_started,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.bantu.dwbwz.apk,0,4,0,50,6,26,25,66,9,0,1,1,0,1,0,0
com.bestv.ott.baseservices.gw.apk,0,4,0,136,8,153,303,345,15,0,0,1,0,1,0,0
com.biemore.android.TrainDesigner.aiyouxi.egame.apk,crashed,4,0,30,10,122,111,162,20,0,0,1,0,1,0,0
com.borgb.flimsy.apk,crashed,6,1,72,8,13,80,96,9,0,0,1,0,1,0,0
com.chnt.kprotect.service.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.coconuttec.teenpatti.klub.apk,0,0,0,0,0,16,26,31,2,0,0,1,0,1,0,0
com.cootek.smartinputv5.skin.keyboard_theme_ice_neon_wolf.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.cp111.jkl19.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.degoo.android.happypetnailpolishsalon.ayx.egame.apk,crashed,4,0,40,10,122,111,162,20,0,0,1,0,1,0,0
com.douzi.dzkessenbd.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.eightsec.RogueNinja.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.example.XingYunChouMa.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.f1player.play.apk,crashed,4,0,41,41,86,78,161,47,0,0,1,0,1,0,0
com.fh.zjwzg.letu.zimon.apk,crashed,6,1,72,8,21,77,91,9,1,0,0,0,1,0,0
com.foursakenmedia.blockfortresswar.apk,not_started,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.game.guaishouyoueryuan.apk,not_started,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.gameone.bingxuegongzhushuiyimohuanzhuangbansan.apk,not_started,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.greatfuture.cyb.apk,crashed,6,1,72,8,26,83,97,10,1,0,0,0,1,0,0
com.tjps.game.wfys.apk,not_started,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.tocaboca.tocaboo.apk,crashed,3,0,74,7,17,80,92,8,0,0,1,0,1,0,0
com.togewohome.rkoe.zy.pc.apk,0,6,1,101,51,188,118,131,53,1,1,0,0,2,1,1
com.topitapi.rooster.de.apk,0,6,1,72,8,15,87,101,9,0,0,1,0,1,0,0
com.touchten.bounce.apk,crashed,6,1,72,8,27,85,97,10,0,0,1,0,1,0,0
com.towspace.dualsmart.apk,0,4,0,101,51,171,112,129,53,0,1,1,0,1,0,0
com.tp.android.bffnewbaby.egame.apk,not_started,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.tp.android.pfullbodyspa.egame.apk,0,6,1,101,51,194,187,221,60,0,1,1,0,1,0,0
com.tp.android.pgrowsup.egame.apk,0,6,1,40,10,121,85,135,19,0,1,1,0,1,0,0
com.tp.android.twinsgrowsup.egame.apk,0,6,1,101,51,194,188,222,60,0,1,1,0,1,0,0
com.tqm.fantasydefense.mainactivity.apk,crashed,6,1,72,8,18,84,98,10,1,0,0,0,1,0,0
com.tqqbbvoid19.apk,0,6,1,101,51,188,117,126,53,0,0,1,0,1,0,0
com.treen.bok.apk,crashed,6,1,101,51,192,120,148,54,1,1,1,0,2,1,1
com.trigtech.hideone.w.apk,crashed,4,0,101,51,181,140,151,52,0,0,1,0,1,0,0
comcom.newvideodevelopermultipleaccounts.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
comcom.silverluckmultipleaccounts.apk,0,4,0,101,51,147,112,117,52,0,1,1,0,1,0,0
coms.duokainiuba.apk,0,4,0,101,51,186,117,122,52,0,0,1,0,1,0,0
ctrla.virtualapp.apk,0,4,0,101,51,147,115,120,52,0,1,1,0,1,0,0
cz.ger.spacetap.apk,crashed,6,1,72,8,17,76,86,9,0,0,1,0,1,0,0
data.ac.modk.apk,not_started,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
data.cc.locn.apk,not_started,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
dex.gu.dmw.dmwapp.apk,0,4,0,101,51,76,110,121,53,0,1,1,0,1,0,0
dfhos.aoyi.apk,crashed,6,1,101,51,190,119,129,53,0,0,1,0,2,0,0
digitalphotoapps.dualspaceapp.apk,0,4,0,101,51,145,116,121,52,0,0,1,0,1,0,0
