Name,Error,VAScore,AssetsApk,StubComponents,StubProcesses,#Permissions,#Activities,#Components,#Processes,SpawnApk,SpawnProcesses,SameCertificates,StubIntent,#Packages,UnknownIntent,CombinedIntentAnalysis
com.ximalaya.ting.android.apk,0,5,1,48,3,31,104,147,8,0,0,1,0,1,0,0
com.xinglin.lwddz409550.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.xinglin.lwddz478346.apk,0,4,0,40,10,16,30,59,15,0,0,1,0,1,0,0
com.xinglin.lwddz516903.apk,0,4,0,40,10,16,30,59,15,0,0,1,0,1,0,0
com.xingxi.meli.apk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.xinnengyuanwang.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.green.weihelper.apk,0,4,0,101,51,186,113,120,53,0,1,1,0,1,0,0
com.greenxxoo.forum.apk,0,6,1,81,9,20,75,90,9,1,0,0,0,1,0,0
com.gsishdhsjdjd.greyd.apk,0,6,1,101,51,177,114,124,51,0,0,1,0,1,0,0
com.gspace.android.apk,0,4,0,399,100,168,326,452,105,1,1,1,0,1,0,0
com.gtresht.t3etgg.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.gttsoftgames.streetfighting.apk,0,6,1,81,9,16,80,95,11,0,0,1,0,1,0,0
com.guandan.anhui.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.guangdongpinpaitongzhuangshangcheng.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.guojishipin.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.GWBXS.org.chaojimabaobei.apk,0,6,1,81,9,17,79,93,9,0,0,1,0,1,0,0
com.gyorgyszucs.colonizerul.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.H0O0W2YQ3HW3.apk,0,4,0,101,51,187,108,116,52,0,0,1,0,1,0,0
com.h99051131.tsf.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.haikejidian.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.haiyangshipinwang.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.halikeji.claw_fruit.apk,0,6,1,81,9,18,81,96,9,0,0,1,0,1,0,0
com.halikeji.roadRunner.apk,0,6,1,81,9,18,81,96,9,0,0,1,0,1,0,0
com.handcool.wifi86.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.handjoy147.apk,0,4,0,300,100,152,225,343,103,0,0,1,0,1,0,0
com.hanyuejian.hacker.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.hanyuejian.multrun.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.haodf.android.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
air.com.rxGames.jietuozhimen.apk,0,6,1,81,9,17,78,91,9,0,0,1,0,1,0,0
ba0r.tbtzn3r.a1j2.k31v.bsb.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
cn.com.liujisumemory.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
cn.ninetwoapp.news.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.aetnent.history.android.kids.PortaPilots.apk,0,4,0,81,9,28,86,101,10,0,0,1,0,1,0,0
com.android.mpsplug.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.argt.jdqs.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.bantu.dwbwz.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.bestv.ott.baseservices.gw.apk,0,4,0,153,9,153,303,345,15,0,0,1,0,1,0,0
com.biemore.android.TrainDesigner.aiyouxi.egame.apk,0,4,0,59,11,122,111,162,18,0,1,1,0,1,0,0
com.borgb.flimsy.apk,0,4,0,81,9,13,80,96,9,0,0,1,0,1,0,0
com.chnt.kprotect.service.apk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.coconuttec.teenpatti.klub.apk,0,0,0,0,0,16,26,31,2,0,0,1,0,1,0,0
com.cootek.smartinputv5.skin.keyboard_theme_ice_neon_wolf.apk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.cp111.jkl19.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.degoo.android.happypetnailpolishsalon.ayx.egame.apk,0,4,0,40,10,122,111,162,16,0,1,1,0,1,0,0
com.douzi.dzkessenbd.apk,0,6,1,48,6,40,38,96,12,0,0,1,0,1,0,0
com.eightsec.RogueNinja.apk,0,6,1,81,9,16,81,95,9,0,0,1,0,1,0,0
com.example.XingYunChouMa.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
