APP SHA,Install,Native Run,Virtualized Run
A95E8BA05843BA983700FFB68205BBF9878DC6CD54FB18732DD5A541FFEA7A3C,installed,error,error
4C34E09FD21EF898B8E5CFB716475FBE53F8C41EF15E8581108B980965D8E5CD,installed,working,working
ED20A76A9BE174CF08BBA4FE89B0E54F4D7713B32BEFA5C49B0A6364D313CE09,installed,error,error
2510B08CAB3CEA7EE0E07CC5FE80788CC8405EA165FECAAEEB34E554F3DEBD2E,installed,error,error
76288BA1D94E62B3808EB4F8DFE334BAF1D8131138AAF3EA4CD435C00B0B26FC,installed,working,working
80A53B5CB69BE4E7AD0CE86912D429E3DB180F1ACE1853BFB4C9C1BF160B4B9E,installed,working,working
7F0518257993FF47088A51D30E98B45889634CBDEFB22EA959FD730ECD690207,installed,error,error
8250231AB7C4B90358DA50D04382C57D335CC740C52B511FCC7EEDCC91C60C78,installed,working,working
28E640E930C3013953901A982FBBF835D0CEAA6F18EB778E470CC2418A1AE912,installed,working,working
86FCB78519D238ADB362A6FC8E41334F088A036075E50A9E91D1B4056AC207C3,installed,working,not found
FDE633F382AB72358A7EAE5FC9A81A1FBE9480CDD9552919D3F2803A256FC310,installed,error,error
A41A0B05BB619F0D8D081DB2CC91E83BF46AA6089C949346025B55B47DF7E248,installed,error,error
7B487A3D361E3AA1CDD6AA2D019F13798EAA37FF5EF8B84B809E95A00E0B854C,installed,working,working
CC7E908DC569BE3798E1D9EEB141E39403808F95BA2869F91079E99ECEEAC251,installed,working,working
235283D707E95B8494CAFDD2D19519F0D806567DFC78E6965E3C44FBA9509AFB,installed,working,working
53AF610270276264F144874C3D015B948A0F3C746922C99488D5F62C7F310729,installed,error,error
7E8D2A36F3645C68D1D3E0BC7F9FB4CD785120BE9C82D45E3C2C9DCA1A822785,installed,error,error
4301EFF641191692AEBC9573E55607B053DB918F25812F8E64BFCC24D4A0FB51,installed,working,working
2F47BE4D935E3FDFE7AB6D472CF70027B01D32843217F160B5D78E351F6634F6,installed,working,working
1B08755E73887E5ABAFEFAFE952821A0FF826BC27FFC189BC3B6E6ADA0A09195,installed,main activity error,error
E74A6112B0914D2A33CA11F43E3B884AFF1F244AA98D279C6D0E31F4668016DB,installed,working,working
F1BCE8BCA6A9BF6D984EB0773DDE9E3DE9BB2980CA3C6D65BCF132098A6E23A1,installed,working,working
019592E4CDAD99340D42F5320F8C2E3641D319C9CB65DABD4ACD26417BE5A85B,installed,working,working
CB9F3C3EE4290FA1729847C05F5CAEE0BCF55CC0AC4FE8A126A2F0A39E92B953,installed,working,working
5003C1AF39907C6D6739AC608D4643AA473E86763E86417AD368957F2197D226,installed,error,error
5038FD487E73D0BFA4DBAA0BE4C341F28ED8C673E264A7A85A053E665484F0D7,installed,working,working
B66B64CFB62A785A859A20E8E1A9D0076F0973DB1D39B12DF88FD4485811BA54,installed,working,working
6F03BA3C1052499649394FD7827EEB1EFEF4B36F31683E70437F67C263179ED1,installed,working,working
68CA8E1EECE440E34C3C0918885478BC04C942B481FB37FDDC5A0DBA1443C8C0,installed,error,error
9051DF223BF043CB4465F88B145D4D2DE7BD34A41AECF2269672971E03FC26B5,installed,error,error
8277B21AA7E3E00604DBC19611C1669284A2CA28AC183571A88FC1D1E2CA5102,installed,working,working
4F76DF0CCC61C49B250D358785AF0CB00EAAFE90F68F3ECE5FF73801414AAC40,installed,working,working
FF386D5D83887C3562741DB41628CC8F1A7968E4DC042D6538F71E2F94100249,installed,working,working
D30F0A6C0B1BA6975E404E7C3FC89D9416A37E477E2FD3457EEB0953DB929A43,installed,working,working
9CC6313D2B3F24CB839ECFC56DA2269E402E1492967614F632A3104502089590,installed,error,error
77BD4E86AF00185AAE92F3D6B7904FBD6D202F4E93D9D54BDE5262F70D9BB4CD,installed,working,error
D385D8DD8DF5844861ECCBA51E35493D39CAB796B31639929F00B291806A612D,installed,error,error
10F0A350A3CEC9BFF495D851541A105C0FFA6C8D6DCD7AAF39BC7B5ADBC3DDC1,installed,working,working
6FBCF727463DB490B483757065077A79B0821BC687A885B8AFC180821A9B5925,installed,main activity error,error
DB89F30C4926BB2C7ED07846C9439C8B77F6CAFDDEBD2C914A0BB94927A9AB0D,installed,working,working
8CBFFD9160941C22A6DBB06AF14B3B88EC54B444DF51F285B449A6EF7DC6EFB2,installed,working,working
29631C54A0609E436AF76E405F70F760FFA5DA469FB9C8B07DC4AC5988B637E0,installed,working,working
5731F133679C631114F5D7B37D8F2C10B1CC5A7685E4C63A8D0B179D9C63B689,installed,working,working
D3833C6BD511D262CCA991C1B5E4FB1D655E92D239BC5A8A3ADBBBF531CAFF87,installed,error,error
E348C3FA73E9EC70C9797104B10B25953D4463ADD91BB6A5397D622270EA0078,installed,working,working
4E165EE0DA2F32B2DF57357F62ECAC9BD24F076388FF7258A42DF466BBD772E9,installed,working,working
7EF33294EF16C37655D13CB2EE11C657FAFF5DF70AD1D6FDE161681E919FD146,installed,working,working
1FC67FC2B0E0CA1A4B156D23CDCE19561BE9F0AB648C80063E1388250383A09A,installed,working,working
665D75E7FF4EF913D3F126C104B1C0832039EDFCC0EC65A1680F149646C2D97B,installed,main activity error,error
E476BA7530EDBCBB366A88B31660BEB94EBE09ECC391F9394C6BA3F21B1F69CC,installed,working,working
D7ADBD4AB3DEC85B2A82DE9E9A06C7C5662216A3EAC0A013D4C1947A42E1E7F5,installed,working,working
BA2CD35602E18F94BE419CFB1A094615E2CFE2D1EE0217FF2F0985A593981692,installed,error,error
A4B1A4261785B6A81E238F8DA136D533C806B6C2A6B18B8BAD41213943980493,installed,working,working
B31438EB4E92478ADB58E1C3469599853A7839EEAD847F3BAF1C58F759BD1EAE,installed,working,working
34451D6C85A545244BFF2A10A6621B7E5213F75EAE07C28A801C733C1B0F0881,installed,working,working
49F667D28280F16676906B25E68D84E01B1F2D2DDC24F138499B60B9D9994880,installed,main activity error,error
15A1317D27FB35DDCE3F2E4F9A0600B369B3A9D150C6940CEE594BBEAD9A42DA,installed,working,working
35328BD0B2139CC461F2F9463BCCEC5E6AC0C44195BE1C33D4A3E053EDE65ECB,installed,working,working
7DE31ADBB4E8456691898514C72811589C1F550D2685B42F4F6DF470D2ADACD3,installed,working,working
38381410559F5291C821B01BD5EEC713806EC9200B81F1ED737B7B02016559B0,installed,working,working
6B96982E49FB54FB8FE2FC580D2599644FAB596D45A735ED9E2D8AB1FAB05949,installed,working,working
BEB35E4D44ED0476F7781E72D06E7FD44ACBDF740F6193E6DC2F4412A464DE49,installed,working,working
F10110CB25E60CFB76A0827EA620CD5110B1D0E0A4C50099948D7DF824220533,installed,working,error
0059C0C56BBEACCAFEF059006442BD48958B25BE703F250E41B0EA0B3798E544,installed,working,working
D77AD39EEBA20C512745AF50E72CED300158FEB8D26AED4D5F87B092A995242C,installed,working,working
716873E303568418E658F210D84A32D84DE7EF909AAE6F0DE4C35D1215340F7C,installed,error,error
E19F225E744C7BEA05398F84B43F81D8E1E6DE0AE3DDA6844084250F270F9744,installed,error,error
2969B0A56F67328B2695D2FE5EDB5C40398198AFFFD8E8746610B4906F794C01,installed,main activity error,working
F1592739B0D2BB5766009DCC57AC7D3D22C6A50BCCFD4F38B11B9BB59BF31388,installed,working,working
B1B4D4C7765580CA43276D0549BE7345CEE9CF35A3A1930955FE916E5DE8E4FE,installed,working,working
E0B238A14E4FE82122FE9520676A0C13B9B7103F7CD667EB6F317092ED90E1B2,installed,error,error
2C3E4FC847A4183E264E88D7065E138C4A4E4F509CCCED3E30C7FEA09B61C65D,installed,error,error
34162E927772E5ABDFCFF3072BA703C4D480F46C43DD7A5BD5BC07F82CE5843D,installed,error,error
86273C70F3630631B8D30653C3D3C66D361810D9AE551042B91BCB52D2BE5F6C,installed,working,working
405CE31755542495BF406D35A0323A94362C783E409AFBF3DC60D66E1E2DDF2F,installed,working,working
A61738C9196C5BBFBE31DD7B240294C7E5FA968663CC0127A9F6DCE1573F6B30,installed,error,error
89394AD7E6E9495C8FA54900783130E1B39CE87C6BADB354F326565C8AA64A71,installed,working,working
308BEB49FC80813B1E24CEC50CC076776118B9878F7EE711C2A223E3E336BF61,installed,error,error
DC13378CC2DF055CAE045999E94892CEB3A0643ECA414393FD9EFD44116B634F,installed,error,error
F01EBF8D8C6D785C14E6358C4103905FDD35D0CE83D03B689874578D3B4117C3,installed,working,working
8BC0FB6185EC335383D92B0B9AFE023CE7DB8542C101447E4ACD80A71366B091,installed,working,working
F0317E48F201EA70329C2DDEBDEBD810E62AA3F83126717AE1AB72729D869C56,not installed,error,error
B7CD49DFAF4516D1CC06818C6635D6FFE86C516977BEFA7DD120258088FB7A53,installed,error,error
8995D428D2F25CCBE41ABAA60003D426BDE837336218FBD61BE2BE1013DC0879,not installed,error,error
8EC9A629D83E1DB8537BE9A8FEFB7039A7A07619212A536E3355FBB8CA25E936,installed,working,working
A2B07D5B25D12B3AF977A6CBB4B697F290A72698DEE5E2A88DA31D4A7AD6A278,installed,working,working
1B70C2F08CF2C29F30CD16AC9756977A913DC0596006E1F083C7C69DE199A68B,installed,working,working
B89683E9EFDEA16AA584B0FD2A5E201D0E4CFC2EE44635D1E8658FECCA35A09C,installed,working,working
ED4BB7E6C7F16D6DDA98D8171C1807E088CE76F153C613284A4A7838EBC14397,installed,working,working
C4E7A0F6D3CCEDB571A7FC95226D2A301CE25B948218B39094239BAF8EBCA82E,installed,working,working
